X,Y,numero_pessoas
327943,7389499,1
327931,7389511,27
327931,7389511,1
325310,7385366,17
325310,7385366,1
333125,7394595,4
325106,7385518,1
325106,7385518,1
332828,7394396,1
333688,7396099,6
333428,7395718,3
333428,7395718,1
333544,7395232,3
333310,7395851,1
326902,7385677,7
331699,7394087,1
334832,7395443,5
334832,7395443,1
331604,7393850,1
331684,7393998,1
340320,7396580,3
340140,7396530,16
333695,7395751,1
333388,7395272,1
333388,7395272,1
333558,7396033,3
333558,7396033,1
333214,7394487,1
333214,7394487,1
333581,7394781,4
333581,7394781,1
322972,7393486,5
324151,7393290,40
324151,7393290,1
333401,7395520,1
334598,7395801,1
334598,7395801,1
334500,7396624,2
334500,7396624,1
332679,7395257,3
332679,7395257,1
333402,7396175,2
333402,7396175,1
334084,7395256,1
334084,7395256,1
333790,7395965,1
324978,7389326,45
333633,7396312,3
333633,7396312,1
332741,7395076,14
332741,7395076,1
335084,7396038,1
335084,7396038,1
333549,7395238,1
339286,7395669,1
333638,7394792,5
333638,7394792,1
333510,7393212,3
333510,7393212,1
333759,7394160,11
333759,7394160,1
333191,7394439,11
333191,7394439,1
333474,7395784,2
333474,7395784,1
333019,7395952,2
333019,7395952,1
333508,7395722,2
333508,7395722,1
333520,7395707,1
333549,7395243,1
333549,7395243,1
333408,7395309,3
333408,7395309,1
332138,7392852,1
332138,7392852,1
333498,7395874,1
333498,7395874,1
332975,7395611,1
332975,7395611,1
333346,7395865,2
333346,7395865,1
333247,7395663,1
333200,7393152,4
327150,7393069,1
327150,7393069,1
333188,7395823,1
333188,7395823,1
333565,7394058,1
333706,7394285,4
333621,7394056,4
333621,7394056,1
333708,7394376,2
333828,7394334,5
333828,7394334,1
333755,7394305,2
333755,7394305,1
332376,7395259,3
332376,7395259,1
333786,7394154,1
333797,7394271,1
333694,7394272,2
333711,7394121,3
335924,7395881,1
333711,7394184,4
334993,7395226,175
334993,7395226,1
333790,7394319,1
335626,7390925,12
335626,7390925,1
333433,7394070,1
333433,7394070,1
333518,7394217,1
333518,7394217,1
332346,7393957,1
332006,7392434,20
332006,7392434,1
333707,7394286,2
333848,7394427,1
333848,7394427,1
333566,7395639,10
333566,7395639,1
333816,7394169,6
333816,7394169,1
333645,7392987,6
333645,7392987,1
333852,7394504,1
333852,7394504,1
333614,7394212,5
333614,7394212,1
334240,7393802,6
334240,7393802,1
333611,7394202,1
333611,7394202,1
333775,7394283,5
333775,7394283,1
332841,7395723,3
332841,7395723,1
333366,7387193,1
333366,7387193,1
333800,7394321,1
323827,7390083,1
325693,7392132,425
332653,7395278,12
332653,7395278,1
332389,7387216,3
332389,7387216,1
332411,7387232,1
332411,7387232,1
331928,7397761,1
331928,7397761,1
333767,7394310,2
330903,7393427,12
325116,7392487,27
333799,7394275,2
333109,7394063,1
333109,7394063,1
326826,7382565,1
326826,7382565,1
333608,7394792,4
333771,7394157,2
333771,7394157,1
332937,7391334,9
332937,7391334,1
333720,7394139,3
333720,7394139,1
333221,7395283,1
333221,7395283,1
333167,7394306,2
333167,7394306,1
333363,7394253,1
333363,7394253,1
333778,7394157,7
331179,7393030,1
331179,7393030,1
335137,7395533,1
335137,7395533,1
333892,7394341,2
333892,7394341,1
331596,7396070,1
331596,7396070,1
328720,7393980,2
328720,7393980,1
333754,7394044,6
333801,7394281,2
333801,7394281,1
333217,7394787,2
333217,7394787,1
333448,7395109,2
333448,7395109,1
334541,7396773,3
334541,7396773,1
332834,7393463,65
333166,7394311,2
333166,7394311,1
330138,7396666,2
330138,7396666,1
333555,7394164,4
333555,7394164,1
333835,7394336,2
333835,7394336,1
334378,7392887,2
334378,7392887,1
333062,7394212,1
333062,7394212,1
333080,7394116,1
333080,7394116,1
331362,7396629,7
331362,7396629,1
334996,7394657,1
334996,7394657,1
333648,7394266,1
332972,7393810,6
