X,Y,numero_pessoas
333008,7393783,1
332850,7393546,4
333465,7394086,1
332607,7394289,2
333835,7392665,2
330854,7388466,1
332313,7394301,1
343295,7396715,3
332718,7394827,5
336514,7388843,12
332092,7394923,2
324954,7393953,1
335080,7394911,21
332892,7394710,3
332304,7394395,1
333033,7394913,2
332748,7395094,2
345088,7382083,1
344873,7382446,1
332040,7394855,1
334273,7393618,1
331731,7394958,1
332772,7394159,2
332347,7393299,3
320863,7394125,1
323128,7391615,2
322114,7394100,2
334164,7398366,38
331281,7393052,9
331590,7392780,6
331839,7392768,1
332725,7395121,9
332141,7394530,5
329268,7399831,1
329782,7402985,1
332081,7393775,2
333028,7394383,1
331895,7394729,4
332369,7394859,3
329936,7396633,1
331988,7394378,1
332695,7394424,1
323908,7393298,1
331434,7394817,115
332509,7394819,1
332443,7395171,1
332468,7394518,1
324035,7384047,2
332079,7394335,3
331887,7394752,2
331908,7394599,3
331939,7394535,1
327179,7395338,1
321219,7384203,1
332225,7392290,13
332673,7394360,1
332427,7394060,1
332464,7394523,1
332262,7394772,3
325933,7398920,4
326655,7399967,1
332469,7393697,1
328525,7393847,5
329060,7393925,9
327955,7394800,1
326368,7398720,4
328255,7392864,1
332049,7394707,1
332051,7396055,13
332059,7396073,1
332564,7394415,1
332406,7394707,4
332033,7394667,2
332033,7394667,1
331783,7391920,2
332104,7392181,3
343611,7403587,1
331994,7394620,1
332612,7394047,1
332611,7394399,1
333951,7395354,1
334137,7395466,2
332016,7394529,2
335082,7395499,1
332001,7394935,1
329641,7388490,1
332241,7394615,1
331375,7394268,3
331209,7394681,1
327712,7389437,6
327626,7389469,2
330299,7393790,7
340295,7385043,1
322397,7380831,1
332622,7394859,1
327874,7389367,3
332588,7394787,2
332783,7393208,40
332783,7393208,1
332812,7395207,2
332305,7394384,1
332330,7394341,2
329845,7393741,1
332164,7391248,1
330551,7393767,1
332700,7394247,1
330582,7394066,1
332387,7394655,1
328274,7390704,11
328622,7391040,4
332612,7394124,1
332729,7394087,1
332875,7394495,1
332810,7395365,4
332406,7394469,1
330868,7394815,1
332229,7394408,1
326974,7373787,5
332333,7394558,1
332576,7394311,1
330000,7390860,1
332385,7394466,1
332099,7394626,1
331822,7395305,1
331783,7395236,1
332160,7386279,4
332478,7394627,2
328443,7390097,21
332351,7392844,1
332252,7394434,4
332035,7394264,3
332035,7394264,1
333344,7396194,1
332000,7394604,1
333045,7389552,3
331524,7393141,2
329917,7389344,1
330197,7389054,1
332640,7394148,2
332640,7394148,1
331466,7396043,1
332849,7394419,6
332918,7393701,2
329938,7393794,7
331286,7395851,10
331286,7395851,1
331907,7394681,9
331907,7394681,1
332300,7394200,1
332228,7394509,2
332228,7394509,1
332072,7394885,1
329247,7394157,1
332474,7394449,7
333165,7394580,2
323953,7401680,2
332647,7394141,1
329594,7391701,2
332473,7394465,2
333151,7394567,1
326458,7397849,8
332418,7393835,12
332418,7393835,1
332947,7387961,19
332471,7394463,1
331132,7393207,30
332397,7394552,2
332763,7394403,1
332670,7395381,2
332636,7395059,2
332636,7395059,1
334855,7395660,1
333012,7388850,1
340797,7396256,53
331950,7395011,1
328339,7387448,1
331986,7395447,1
332046,7395009,1
334782,7395664,1
329272,7395825,1
329243,7395813,1
332004,7395233,1
332093,7395696,1
332284,7395033,4
328014,7392955,2
339536,7407745,1
332581,7395494,9
332385,7394887,4
332276,7395196,5
331956,7394842,1
331977,7395749,2
332477,7395136,1
332669,7395380,3
332669,7395380,1
331770,7388479,2
327059,7397026,1
327048,7397355,3
331950,7395596,1
331010,7394164,1
329556,7393877,38
332557,7394994,2
332561,7395014,2
331958,7395102,1
331958,7395102,1
332501,7395048,1
332485,7395034,1
331953,7395619,1
332423,7395478,1
332464,7395524,2
332464,7395524,1
332341,7396718,3
335655,7396694,2
331893,7395152,3
332514,7391403,2
332447,7390381,2
332863,7395738,2
332900,7395619,1
332156,7395072,10
332159,7395099,4
332159,7395099,1
332486,7394519,5
331871,7394408,1
332066,7395402,2
332066,7395402,1
332054,7393041,30
333788,7397847,1
332270,7395540,1
327612,7396138,1
332045,7395351,1
331630,7396546,1
332172,7394934,1
332087,7395309,1
331878,7395310,1
331323,7394217,12
331929,7394979,1
332493,7395422,4
331894,7395566,1
326940,7392153,73
332017,7395430,1
328460,7392941,1
332306,7395017,1
333229,7394643,4
332064,7395254,1
331979,7395539,1
331979,7395539,1
331189,7389611,6
331864,7395004,1
339937,7384168,1
332172,7395421,1
333755,7391448,1
332229,7395186,1
332894,7395963,3
332130,7395417,5
332130,7395417,1
331468,7395566,3
330723,7396907,1
352886,7401289,1
341293,7394908,1
331974,7395539,1
332300,7395494,1
332183,7395574,1
332183,7395574,1
333277,7396017,1
333274,7395968,2
332366,7395224,1
333251,7394528,6
332297,7395059,3
333185,7394415,1
328040,7392901,1
326410,7397430,2
332316,7395112,1
333089,7395191,1
332935,7394943,8
330707,7396355,1
329520,7391654,1
330606,7393669,33
333238,7391365,1
332311,7395135,2
338028,7382070,1
332304,7395026,1
332160,7395100,12
333033,7392601,7
333196,7395354,2
332317,7394965,2
332768,7395807,2
332768,7395807,1
