Id,Label
1,10001101
2,10001102
3,10002101
4,10002102
5,10002103
6,10002104
7,10003101
8,10003102
9,10005101
10,10008101
11,10008102
12,10009101
13,10009102
14,10009103
15,10010101
16,10011101
17,10011102
18,10012101
19,10012102
20,10013101
21,10015101
22,10015102
23,10018101
24,10018102
25,10018103
26,10018104
27,10020101
28,10020102
29,10020103
30,10020104
31,10022101
32,10024101
33,10024102
34,10027101
35,10027102
36,10027103
37,10027104
38,10027105
39,10027106
40,10030101
41,10030102
42,10031101
43,10031102
44,10033101
45,10033102
46,10033103
47,10034101
48,10034102
49,10034103
50,10039101
51,10039102
52,10039103
53,10040101
54,10040102
55,10041101
56,10041102
57,10043101
58,10043102
59,10043103
60,10044101
61,10049101
62,10049102
63,10309101
64,10309102
65,10313101
66,10338101
67,10344101
68,10345101
69,10347101
70,10347102
71,10349101
72,10349102
73,10349103
74,10360101
75,10364101
76,10364102
77,10659101
78,10665101
79,10665102
80,10671101
81,10671102
82,10671103
83,10671104
84,10671105
85,10675101
86,10675102
87,10679101
88,10679102
89,10680101
90,10682101
91,10682102
92,10691101
93,10691102
94,10718101
95,10746101
96,10762101
97,10774101
98,10774102
99,10786101
100,10786102
101,10798101
102,10800101
103,10800102
104,20002101
105,20005101
106,20005102
107,20013101
108,20019101
109,20025101
110,20025102
111,20025103
112,20045101
113,20045102
114,20045103
115,20046101
116,20046102
117,20046103
118,20046104
119,20312101
120,20312102
121,20318101
122,20321101
123,20321102
124,20321103
125,20324101
126,20324102
127,20324103
128,20327101
129,20327102
130,20327103
131,20327104
132,20330101
133,20330102
134,20330103
135,20333101
136,20333102
137,20344101
138,20361101
139,20365101
140,20381101
141,20384101
142,20384102
143,20404101
144,20431101
145,20459101
146,20459102
147,20459103
148,20459104
149,20497101
150,20498101
151,20498102
152,20498103
153,20498104
154,20543101
155,20543102
156,20543103
157,20543104
158,20543105
159,20558101
160,20564101
161,20564102
162,20564103
163,20564104
164,20640101
165,20646101
166,20646102
167,20654101
168,20654102
169,20803101
170,20803102
171,20803103
172,20811101
173,20811102
174,20811103
175,20812101
176,20812102
177,20812103
178,20822101
179,20822102
180,20822103
181,20830101
182,20830102
183,20831101
184,20831102
185,20831103
186,20832101
187,20836101
188,20843101
189,20843102
190,20852101
191,20860101
192,20877101
193,20877102
194,20877103
195,20877104
196,20877105
197,20905101
198,20905102
199,20979101
200,21080101
201,21305101
202,21660101
203,21660102
204,21660103
205,21663101
206,21664101
207,21664102
208,21723101
209,30002101
210,30003101
211,30004101
212,30004102
213,30004103
214,30004104
215,30004105
216,30007101
217,30008101
218,30012101
219,30012102
220,30016101
221,30017101
222,30018101
223,30027101
224,30037101
225,30037102
226,30037103
227,30039101
228,30046101
229,30051101
230,30318101
231,30318102
232,30318103
233,30330101
234,30330102
235,30705101
236,30705102
237,30705103
238,30705104
239,30705105
240,30705106
241,30710101
242,30710102
243,30710103
244,30710104
245,30710105
246,30713101
247,30713102
248,30713103
249,30721101
250,30721102
251,30721103
252,30721104
253,30723101
254,30723102
255,30725101
256,30725102
257,30727101
258,30727102
259,30731101
260,30732101
261,30732102
262,30740101
263,30740102
264,30743101
265,30743102
266,30743103
267,30743104
268,30743105
269,30743106
270,30745101
271,30745102
272,30750101
273,30753101
274,30754101
275,30754102
276,30758101
277,30758102
278,30758103
279,30758104
280,30774101
281,30774102
282,30777101
283,30780101
284,30780102
285,30782101
286,30785101
287,30835101
288,30835102
289,30835103
290,30844101
291,30844102
292,30844103
293,30887101
294,30887102
295,30903101
296,30903102
297,30919101
298,30919102
299,32271101
300,32271102
301,32274101
302,32274102
303,32274103
304,32274104
305,32274105
306,32284101
307,32284102
308,32287101
309,32346101
310,32633101
311,32633102
312,32633103
313,32633104
314,32642101
315,32646101
316,32647101
317,40003101
318,40003102
319,40005101
320,40005102
321,40006101
322,40006102
323,40006103
324,40006104
325,40006105
326,40006106
327,40007101
328,40009101
329,40009102
330,40010101
331,40011101
332,40011102
333,40014101
334,40014102
335,40014103
336,40014104
337,40014105
338,40016101
339,40018101
340,40020101
341,40020102
342,40020103
343,40020104
344,40020105
345,40024101
346,40029101
347,40036101
348,40036102
349,40037101
350,40040101
351,40040102
352,40041101
353,40042101
354,40045101
355,40045102
356,40046101
357,40049101
358,40049102
359,40049103
360,40316101
361,40320101
362,40320102
363,40334101
364,41176101
365,41176102
366,41176103
367,41183101
368,41186101
369,41199101
370,41211101
371,41213101
372,41215101
373,41216101
374,41216102
375,41216103
376,41230101
377,41332101
378,41332102
379,41557101
380,41905101
381,42032101
382,42039101
383,42039102
384,42040101
385,42040102
386,42040103
387,42040104
388,42044101
389,42048101
390,42048102
391,42048103
392,42066101
393,42066102
394,42066103
395,42085101
396,42085102
397,42085103
398,42085104
399,42085105
400,42091101
401,42091102
402,42123101
403,42123102
404,42275101
405,42358101
406,42358102
407,42374101
408,42374102
409,42374103
410,42374104
411,42374105
412,42551101
413,42551102
414,42593101
415,42593102
416,42593103
417,50011101
418,50011102
419,50011103
420,50014101
421,50016101
422,50016102
423,50018101
424,50033101
425,50037101
426,50037102
427,50037103
428,50037104
429,50300101
430,50301101
431,50301102
432,50302101
433,50304101
434,50309101
435,50331101
436,50765101
437,50765102
438,50781101
439,50781102
440,50783101
441,50783102
442,50783103
443,50836101
444,50836102
445,50836103
446,50842101
447,50848101
448,50856101
449,50856102
450,50872101
451,50872102
452,50872103
453,50919101
454,51336101
455,51337101
456,51343101
457,51353101
458,51353102
459,51359101
460,51366101
461,51366102
462,51367101
463,51368101
464,51368102
465,51368103
466,51372101
467,51384101
468,51429101
469,51448101
470,51448102
471,51490101
472,51543101
473,51543102
474,51543103
475,51543104
476,51543105
477,51548101
478,51560101
479,52020101
480,52030101
481,52030102
482,52040101
483,52040102
484,52040103
485,52065101
486,52065102
487,52068101
488,52069101
489,52069102
490,52070101
491,52074101
492,52075101
493,52076101
494,52076102
495,52077101
496,52079101
497,52079102
498,52079103
499,52090101
500,52090102
501,60001101
502,60001102
503,60001103
504,60002101
505,60002102
506,60002103
507,60002104
508,60003101
509,60012101
510,60015101
511,60015102
512,60018101
513,60018102
514,60020101
515,60020102
516,60020103
517,60021101
518,60021102
519,60025101
520,60026101
521,60026102
522,60026103
523,60034101
524,60040101
525,60043101
526,60046101
527,60047101
528,60047102
529,60054101
530,60054102
531,60054103
532,60300101
533,60300102
534,60300103
535,60302101
536,60302102
537,60511101
538,60519101
539,60520101
540,60528101
541,60530101
542,60530102
543,60531101
544,60531102
545,60531103
546,60531104
547,60533101
548,60546101
549,60546102
550,60546103
551,60546104
552,60586101
553,60586102
554,60589101
555,60589102
556,60592101
557,60592102
558,60594101
559,60594102
560,61176101
561,61176102
562,61185101
563,61185102
564,61185103
565,61185104
566,61185105
567,61185106
568,61185107
569,61201101
570,61201102
571,61201103
572,61210101
573,61210102
574,61214101
575,61217101
576,61217102
577,61220101
578,61222101
579,61227101
580,61227102
581,61227103
582,61227104
583,61227105
584,61234101
585,61234102
586,61234103
587,61234104
588,61246101
589,61246102
590,61248101
591,61248102
592,61251101
593,61251102
594,61251103
595,61255101
596,61255102
597,61255103
598,61275101
599,61275102
600,61283101
601,61283102
602,61283103
603,61283104
604,61284101
605,61284102
606,61324101
607,61326101
608,61326102
609,61392101
610,61392102
611,61397101
612,61417101
613,61417102
614,61417103
615,61441101
616,61441102
617,62146101
618,62149101
619,62149102
620,62151101
621,62152101
622,70002101
623,70002102
624,70004101
625,70004102
626,70004103
627,70004104
628,70004105
629,70006101
630,70006102
631,70006103
632,70007101
633,70007102
634,70008101
635,70008102
636,70011101
637,70011102
638,70012101
639,70012102
640,70012103
641,70015101
642,70015102
643,70015103
644,70015104
645,70019101
646,70026101
647,70026102
648,70036101
649,70036102
650,70041101
651,70050101
652,70050102
653,70050103
654,70302101
655,70305101
656,70305102
657,70310101
658,70310102
659,70311101
660,70311102
661,70311103
662,70312101
663,70312102
664,70312103
665,70312104
666,70312105
667,70323101
668,70323102
669,70329101
670,70787101
671,70787102
672,70787103
673,70789101
674,70789102
675,70793101
676,70793102
677,70793103
678,70811101
679,70811102
680,70811103
681,70822101
682,70822102
683,70823101
684,70823102
685,70823103
686,70833101
687,70833102
688,70833103
689,70836101
690,70836102
691,70836103
692,70837101
693,70840101
694,70840102
695,70860101
696,70860102
697,70860103
698,70860104
699,70934101
700,70934102
701,70934103
